Disease,Description,Cause,Category,Severity,Disease_Progression,Common_Complications,Clinical_Management
Tuberculosis,Bacterial infectious disease,Bacteria,Infectious,Medium,Rapid acute progression if untreated,Stroke risk,Hospitalization may be needed in severe cases
Heart Disease,Cardiac dysfunction,Lifestyle/Genetic,Cardiovascular,High,Usually self-limited but may worsen in vulnerable patients,Kidney failure,Medication and lifestyle management
Kidney Disease,Renal impairment,Multiple Factors,Renal,Medium,Rapid acute progression if untreated,Sepsis,Requires periodic follow-up
Dengue,Mosquito-borne viral disease,Virus,Infectious,High,Usually self-limited but may worsen in vulnerable patients,Organ damage,Early diagnosis improves prognosis
COVID-19,Respiratory infectious disease,Virus,Respiratory,Medium,Rapid acute progression if untreated,Stroke risk,Early diagnosis improves prognosis
Pneumonia,Lung infection,Bacterial/Viral,Respiratory,High,Rapid acute progression if untreated,Kidney failure,Hospitalization may be needed in severe cases
Hypertension,Elevated blood pressure disorder,Lifestyle/Genetic,Cardiovascular,Critical,Early mild symptoms progressing to severe complications,Neurological complications,Supportive care and monitoring
Tuberculosis,Bacterial infectious disease,Bacteria,Infectious,Low,Progressive organ involvement over time,Stroke risk,Hospitalization may be needed in severe cases
COVID-19,Respiratory infectious disease,Virus,Respiratory,Critical,Usually self-limited but may worsen in vulnerable patients,Kidney failure,Requires periodic follow-up
Flu,Viral infection,Virus,Respiratory,Medium,Gradual progression with chronic manifestations,Stroke risk,Early diagnosis improves prognosis
Pneumonia,Lung infection,Bacterial/Viral,Respiratory,Critical,Gradual progression with chronic manifestations,Secondary infection,Medication and lifestyle management
COVID-19,Respiratory infectious disease,Virus,Respiratory,Critical,Rapid acute progression if untreated,Organ damage,Early diagnosis improves prognosis
Flu,Viral infection,Virus,Respiratory,Low,Progressive organ involvement over time,Kidney failure,Medication and lifestyle management
Dengue,Mosquito-borne viral disease,Virus,Infectious,Medium,Progressive organ involvement over time,Sepsis,Medication and lifestyle management
Tuberculosis,Bacterial infectious disease,Bacteria,Infectious,Critical,Progressive organ involvement over time,Cardiac complications,Requires periodic follow-up
Heart Disease,Cardiac dysfunction,Lifestyle/Genetic,Cardiovascular,Critical,Early mild symptoms progressing to severe complications,Respiratory failure,Hospitalization may be needed in severe cases
Diabetes,Metabolic disorder,Insulin Dysfunction,Endocrine,High,Early mild symptoms progressing to severe complications,Secondary infection,Hospitalization may be needed in severe cases
Diabetes,Metabolic disorder,Insulin Dysfunction,Endocrine,Low,Early mild symptoms progressing to severe complications,Stroke risk,Medication and lifestyle management
Asthma,Chronic airway inflammation,Allergy/Inflammation,Respiratory,High,Gradual progression with chronic manifestations,Sepsis,Requires periodic follow-up
Kidney Disease,Renal impairment,Multiple Factors,Renal,High,Gradual progression with chronic manifestations,Sepsis,Supportive care and monitoring
Hypertension,Elevated blood pressure disorder,Lifestyle/Genetic,Cardiovascular,High,Progressive organ involvement over time,Secondary infection,Requires periodic follow-up
Dengue,Mosquito-borne viral disease,Virus,Infectious,High,Progressive organ involvement over time,Secondary infection,Medication and lifestyle management
Dengue,Mosquito-borne viral disease,Virus,Infectious,Critical,Early mild symptoms progressing to severe complications,Stroke risk,Medication and lifestyle management
Dengue,Mosquito-borne viral disease,Virus,Infectious,Medium,Early mild symptoms progressing to severe complications,Organ damage,Supportive care and monitoring
Asthma,Chronic airway inflammation,Allergy/Inflammation,Respiratory,Low,Progressive organ involvement over time,Kidney failure,Hospitalization may be needed in severe cases
Tuberculosis,Bacterial infectious disease,Bacteria,Infectious,Low,Usually self-limited but may worsen in vulnerable patients,Respiratory failure,Supportive care and monitoring
Flu,Viral infection,Virus,Respiratory,Low,Early mild symptoms progressing to severe complications,Cardiac complications,Requires periodic follow-up
Pneumonia,Lung infection,Bacterial/Viral,Respiratory,Low,Usually self-limited but may worsen in vulnerable patients,Kidney failure,Requires periodic follow-up
Dengue,Mosquito-borne viral disease,Virus,Infectious,Medium,Early mild symptoms progressing to severe complications,Kidney failure,Requires periodic follow-up
COVID-19,Respiratory infectious disease,Virus,Respiratory,High,Usually self-limited but may worsen in vulnerable patients,Organ damage,Requires periodic follow-up
COVID-19,Respiratory infectious disease,Virus,Respiratory,Low,Rapid acute progression if untreated,Sepsis,Supportive care and monitoring
Heart Disease,Cardiac dysfunction,Lifestyle/Genetic,Cardiovascular,Medium,Usually self-limited but may worsen in vulnerable patients,Stroke risk,Early diagnosis improves prognosis
Kidney Disease,Renal impairment,Multiple Factors,Renal,Medium,Rapid acute progression if untreated,Cardiac complications,Early diagnosis improves prognosis
Dengue,Mosquito-borne viral disease,Virus,Infectious,Low,Usually self-limited but may worsen in vulnerable patients,Neurological complications,Medication and lifestyle management
Heart Disease,Cardiac dysfunction,Lifestyle/Genetic,Cardiovascular,High,Gradual progression with chronic manifestations,Respiratory failure,Supportive care and monitoring
COVID-19,Respiratory infectious disease,Virus,Respiratory,Low,Usually self-limited but may worsen in vulnerable patients,Neurological complications,Medication and lifestyle management
COVID-19,Respiratory infectious disease,Virus,Respiratory,Low,Early mild symptoms progressing to severe complications,Kidney failure,Medication and lifestyle management
Heart Disease,Cardiac dysfunction,Lifestyle/Genetic,Cardiovascular,High,Rapid acute progression if untreated,Neurological complications,Supportive care and monitoring
COVID-19,Respiratory infectious disease,Virus,Respiratory,Medium,Early mild symptoms progressing to severe complications,Kidney failure,Early diagnosis improves prognosis
Asthma,Chronic airway inflammation,Allergy/Inflammation,Respiratory,Critical,Early mild symptoms progressing to severe complications,Sepsis,Supportive care and monitoring
Flu,Viral infection,Virus,Respiratory,Medium,Gradual progression with chronic manifestations,Secondary infection,Early diagnosis improves prognosis
Heart Disease,Cardiac dysfunction,Lifestyle/Genetic,Cardiovascular,High,Early mild symptoms progressing to severe complications,Secondary infection,Early diagnosis improves prognosis
Dengue,Mosquito-borne viral disease,Virus,Infectious,Low,Progressive organ involvement over time,Cardiac complications,Requires periodic follow-up
Hypertension,Elevated blood pressure disorder,Lifestyle/Genetic,Cardiovascular,Critical,Progressive organ involvement over time,Cardiac complications,Medication and lifestyle management
COVID-19,Respiratory infectious disease,Virus,Respiratory,Medium,Early mild symptoms progressing to severe complications,Organ damage,Supportive care and monitoring
Pneumonia,Lung infection,Bacterial/Viral,Respiratory,Critical,Usually self-limited but may worsen in vulnerable patients,Neurological complications,Medication and lifestyle management
Tuberculosis,Bacterial infectious disease,Bacteria,Infectious,Critical,Rapid acute progression if untreated,Respiratory failure,Medication and lifestyle management
Heart Disease,Cardiac dysfunction,Lifestyle/Genetic,Cardiovascular,Critical,Early mild symptoms progressing to severe complications,Cardiac complications,Requires periodic follow-up
Flu,Viral infection,Virus,Respiratory,Low,Rapid acute progression if untreated,Secondary infection,Supportive care and monitoring
Kidney Disease,Renal impairment,Multiple Factors,Renal,Medium,Rapid acute progression if untreated,Sepsis,Requires periodic follow-up
Diabetes,Metabolic disorder,Insulin Dysfunction,Endocrine,Critical,Rapid acute progression if untreated,Cardiac complications,Medication and lifestyle management
Kidney Disease,Renal impairment,Multiple Factors,Renal,Low,Early mild symptoms progressing to severe complications,Organ damage,Hospitalization may be needed in severe cases
Heart Disease,Cardiac dysfunction,Lifestyle/Genetic,Cardiovascular,Critical,Gradual progression with chronic manifestations,Sepsis,Requires periodic follow-up
Asthma,Chronic airway inflammation,Allergy/Inflammation,Respiratory,Medium,Rapid acute progression if untreated,Kidney failure,Supportive care and monitoring
Kidney Disease,Renal impairment,Multiple Factors,Renal,Medium,Usually self-limited but may worsen in vulnerable patients,Cardiac complications,Requires periodic follow-up
Diabetes,Metabolic disorder,Insulin Dysfunction,Endocrine,Low,Progressive organ involvement over time,Neurological complications,Hospitalization may be needed in severe cases
Heart Disease,Cardiac dysfunction,Lifestyle/Genetic,Cardiovascular,Low,Progressive organ involvement over time,Neurological complications,Early diagnosis improves prognosis
COVID-19,Respiratory infectious disease,Virus,Respiratory,Critical,Early mild symptoms progressing to severe complications,Sepsis,Requires periodic follow-up
Pneumonia,Lung infection,Bacterial/Viral,Respiratory,Low,Usually self-limited but may worsen in vulnerable patients,Respiratory failure,Supportive care and monitoring
Tuberculosis,Bacterial infectious disease,Bacteria,Infectious,High,Usually self-limited but may worsen in vulnerable patients,Stroke risk,Requires periodic follow-up
Asthma,Chronic airway inflammation,Allergy/Inflammation,Respiratory,High,Early mild symptoms progressing to severe complications,Stroke risk,Requires periodic follow-up
Asthma,Chronic airway inflammation,Allergy/Inflammation,Respiratory,Critical,Rapid acute progression if untreated,Neurological complications,Supportive care and monitoring
COVID-19,Respiratory infectious disease,Virus,Respiratory,Medium,Early mild symptoms progressing to severe complications,Secondary infection,Early diagnosis improves prognosis
Hypertension,Elevated blood pressure disorder,Lifestyle/Genetic,Cardiovascular,High,Early mild symptoms progressing to severe complications,Respiratory failure,Medication and lifestyle management
Heart Disease,Cardiac dysfunction,Lifestyle/Genetic,Cardiovascular,Medium,Progressive organ involvement over time,Sepsis,Early diagnosis improves prognosis
Tuberculosis,Bacterial infectious disease,Bacteria,Infectious,Medium,Gradual progression with chronic manifestations,Sepsis,Requires periodic follow-up
Diabetes,Metabolic disorder,Insulin Dysfunction,Endocrine,Critical,Gradual progression with chronic manifestations,Secondary infection,Supportive care and monitoring
Pneumonia,Lung infection,Bacterial/Viral,Respiratory,Low,Usually self-limited but may worsen in vulnerable patients,Sepsis,Requires periodic follow-up
Heart Disease,Cardiac dysfunction,Lifestyle/Genetic,Cardiovascular,Medium,Progressive organ involvement over time,Respiratory failure,Hospitalization may be needed in severe cases
Flu,Viral infection,Virus,Respiratory,Critical,Usually self-limited but may worsen in vulnerable patients,Neurological complications,Hospitalization may be needed in severe cases
